n_coeff,coeff_ratio,eta_total,eta_ac,eps_l2,rmse,snr_db,max_imag,strategy,basis,id
23,0.8846153846153846,1.0000000000000002,1.0,2.323349999243301e-15,8.15658004766556e-15,292.6777072263776,0.0,lowpass,total,S3
25,0.9615384615384616,1.0000000000000002,1.0,2.4974796586467235e-15,8.767896683583238e-15,292.0499608061714,0.0,lowpass,total,S3
26,1.0,1.0,1.0,2.4779359089154205e-15,8.699284481733826e-15,292.11819861427847,0.0,lowpass,total,S3
2,0.07692307692307693,1.721863708369997e-30,2.927168304228994e-29,0.9999999999999998,0.85146931829632,0.0,0.0,lowpass,ac,S3
4,0.15384615384615385,0.04056795131845843,0.689655172413793,0.5570860145311554,0.4743416490252567,5.081554884596314,0.0,lowpass,ac,S3
6,0.23076923076923078,0.04056795131845843,0.689655172413793,0.5570860145311554,0.4743416490252567,5.081554884596314,0.0,lowpass,ac,S3
8,0.3076923076923077,0.04056795131845843,0.689655172413793,0.5570860145311554,0.4743416490252567,5.081554884596315,0.0,lowpass,ac,S3
10,0.38461538461538464,0.05517241379310337,0.937931034482757,0.24913643956122059,0.21213203435596484,12.071254927956476,0.0,lowpass,ac,S3
12,0.46153846153846156,0.05517241379310337,0.937931034482757,0.24913643956122059,0.21213203435596484,12.071254927956476,0.0,lowpass,ac,S3
14,0.5384615384615384,0.05517241379310337,0.937931034482757,0.24913643956122059,0.21213203435596487,12.071254927956474,0.0,lowpass,ac,S3
16,0.6153846153846154,0.05517241379310337,0.937931034482757,0.24913643956122059,0.21213203435596487,12.071254927956476,0.0,lowpass,ac,S3
18,0.6923076923076923,0.05882352941176472,1.0,8.970928175817092e-15,7.63847009834823e-15,280.9432524082788,0.0,lowpass,ac,S3
20,0.7692307692307693,0.05882352941176472,1.0,9.277116727342526e-15,7.899180255585729e-15,280.6517395790092,0.0,lowpass,ac,S3
22,0.8461538461538461,0.05882352941176472,1.0,9.542025131835537e-15,8.124741634170358e-15,280.4071888785703,0.0,lowpass,ac,S3
24,0.9230769230769231,0.05882352941176472,1.0,1.0120997189041265e-14,8.617718577031937e-15,279.8955339152156,0.0,lowpass,ac,S3
25,0.9615384615384616,0.05882352941176472,1.0,1.0143159689461431e-14,8.636589266156438e-15,279.8765347423746,0.0,lowpass,ac,S3
1,0.038461538461538464,0.9411764705882354,0.0,0.24253562503633297,0.8514693182963199,12.30448921378274,0.0,magnitude,total,S3
3,0.11538461538461539,0.9817444219066939,0.689655172413793,0.13511320473331345,0.47434164902525666,17.386044098379053,0.0,magnitude,total,S3
5,0.19230769230769232,0.9963488843813387,0.937931034482757,0.06042446208830725,0.2121320343559649,24.37574414173921,0.0,magnitude,total,S3
7,0.2692307692307692,1.0000000000000002,1.0,1.0994828615603848e-15,3.859952213086487e-15,299.17623071829235,0.0,magnitude,total,S3
9,0.34615384615384615,1.0,1.0,1.5518826584944436e-15,5.448191246569223e-15,296.1828223973162,0.0,magnitude,total,S3
11,0.4230769230769231,1.0,1.0000000000000002,1.733893295105425e-15,6.087175612905572e-15,295.2195526559138,0.0,magnitude,total,S3
13,0.5,1.0,1.0,1.8778780869141146e-15,6.592662724368133e-15,294.5266521167878,0.0,magnitude,total,S3
15,0.5769230769230769,1.0000000000000002,1.0,2.0082148174276436e-15,7.05023561520716e-15,293.9437966569003,0.0,magnitude,total,S3
17,0.6538461538461539,1.0000000000000002,1.0,2.1927998626655757e-15,7.69825795259736e-15,293.1800200933659,0.0,magnitude,total,S3
19,0.7307692307692307,1.0000000000000002,1.0,2.2825968586456503e-15,8.013508081071301e-15,292.8314156950818,0.0,magnitude,total,S3
21,0.8076923076923077,1.0000000000000002,1.0,2.3405045174030214e-15,8.216804379167254e-15,292.61381032609665,0.0,magnitude,total,S3
23,0.8846153846153846,1.0000000000000002,1.0,2.4287686125752377e-15,8.52667295593848e-15,292.29227716432086,0.0,magnitude,total,S3
25,0.9615384615384616,1.0000000000000002,1.0,2.4974796586467235e-15,8.767896683583238e-15,292.0499608061714,0.0,magnitude,total,S3
26,1.0,1.0,1.0,2.4779359089154205e-15,8.699284481733826e-15,292.11819861427847,0.0,magnitude,total,S3
2,0.07692307692307693,0.04056795131845843,0.689655172413793,0.5570860145311555,0.4743416490252567,5.081554884596314,0.0,magnitude,ac,S3
